Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ExitRates in %,PageValues,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2,14.0,2,10.0,17,0.011111111,0.0,May,1,1,1,5,New_Visitor,False,False
1,10.0,0,0.0,25,0.016,71.07435633,Oct,1,1,1,2,Returning_Visitor,False,True
1,17.5,0,0.0,17,0.002352941,51.60705882,May,2,2,4,2,New_Visitor,False,True
0,0.0,0,0.0,32,0.032291667,0.0,Dec,4,2,3,1,Returning_Visitor,False,False
0,0.0,0,0.0,63,0.000468384,0.0,Nov,2,6,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,5,0.04,0.0,Mar,2,5,1,1,Returning_Visitor,False,False
8,57.0625,3,172.0,23,0.065189145,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
12,171.2916667,2,55.5,213,0.014633794,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
5,75.0,0,0.0,31,0.014285714,0.0,May,2,2,1,6,Returning_Visitor,False,False
0,0.0,0,0.0,38,0.005405405,23.6645871,Dec,2,2,1,2,Returning_Visitor,False,True
2,19.4,3,45.26666667,10,0.052857143,0.0,Sep,2,2,1,5,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.2,0.0,May,1,1,2,3,New_Visitor,False,False
1,63.5,0,0.0,7,0.025,0.0,Dec,1,1,2,2,New_Visitor,False,False
11,238.775641,1,9.0,200,0.014230973,21.83420125,Nov,2,2,1,2,Returning_Visitor,False,True
0,0.0,0,0.0,29,0.025448823,0.0,Nov,3,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,26,0.044230769,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
3,26.0,0,0.0,2,0.02,0.0,May,2,2,1,4,Returning_Visitor,False,False
4,40.0,2,146.0,56,0.010451977,85.7528587,Mar,2,2,2,2,Returning_Visitor,True,False
0,0.0,0,0.0,28,0.033333333,0.0,Nov,2,2,7,10,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.2,0.0,May,2,2,1,1,Returning_Visitor,False,False
9,111.5,1,48.5,49,0.020708874,1.706014966,Mar,2,2,7,2,Returning_Visitor,False,True
0,0.0,0,0.0,27,0.022222222,0.0,Dec,3,2,3,3,Returning_Visitor,True,False
3,32.5,0,0.0,24,0.014666667,14.57483754,Nov,4,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,42,0.062641723,0.0,Nov,2,2,1,13,Returning_Visitor,False,False
0,0.0,0,0.0,12,0.018181818,0.0,May,2,7,1,2,New_Visitor,True,False
0,0.0,0,0.0,5,0.02,0.0,Mar,2,4,7,2,Returning_Visitor,False,False
3,197.5,0,0.0,15,0.029411765,0.0,Dec,2,4,4,2,Returning_Visitor,False,False
4,76.4,0,0.0,2,0.033333333,16.77416803,Oct,2,2,6,2,Returning_Visitor,False,True
3,18.75,0,0.0,7,0.025,0.0,Mar,2,2,5,2,New_Visitor,False,False
4,81.6,0,0.0,45,0.072659574,0.0,Jul,3,2,6,13,Returning_Visitor,False,False
0,0.0,0,0.0,69,0.013140097,0.0,Nov,2,2,4,2,Returning_Visitor,False,False
10,252.5,2,506.0,14,0.021212121,29.77418182,May,2,4,4,2,Returning_Visitor,False,True
3,40.0,0,0.0,19,0.030555556,12.18,May,1,1,4,3,Returning_Visitor,False,True
3,43.2,0,0.0,7,0.02,0.0,June,2,4,6,2,New_Visitor,True,False
0,0.0,1,97.0,143,0.020798504,0.0,Nov,2,2,7,2,Returning_Visitor,False,False
0,0.0,0,0.0,2,0.05,0.0,Mar,2,5,6,1,Returning_Visitor,False,False
0,0.0,0,0.0,5,0.16,0.0,Dec,1,1,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,12,0.033333333,0.0,Dec,2,4,1,8,New_Visitor,False,False
5,132.4666667,0,0.0,59,0.011753515,6.475910157,Mar,3,2,2,1,Returning_Visitor,False,False
0,0.0,0,0.0,7,0.028571429,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
3,666.2,5,173.54,27,0.010419753,35.22837227,Oct,3,6,3,20,Returning_Visitor,False,False
0,0.0,0,0.0,7,0.033333333,0.0,Mar,3,2,1,10,Returning_Visitor,False,False
0,0.0,0,0.0,9,0.055555556,0.0,Nov,2,2,9,1,Returning_Visitor,True,False
1,30.0,0,0.0,7,0.025,0.0,Mar,2,2,3,3,New_Visitor,False,False
0,0.0,0,0.0,22,0.003174603,0.0,Nov,3,2,2,6,New_Visitor,True,False
1,7.0,0,0.0,20,0.016140351,34.25336842,May,2,2,3,11,Returning_Visitor,False,True
0,0.0,0,0.0,4,0.091666667,0.0,Mar,2,5,3,2,Returning_Visitor,True,False
0,0.0,0,0.0,44,0.004651163,59.21256014,Nov,2,2,3,6,Returning_Visitor,False,True
